"theme","fundersTop10","year","recipients","totalAwarded","maxAwarded","avgAwarded"
"activity","Comic Relief",2015,10,1322853,248000,132285.3
"activity","Comic Relief",2016,6,12552555,8e+06,2092092.5
"activity","Comic Relief",2017,5,494894,165000,98978.8
"activity","Esmée Fairbairn Foundation",2008,2,169404,98656,84702
"activity","Esmée Fairbairn Foundation",2011,1,103022,103022,103022
"activity","Esmée Fairbairn Foundation",2014,1,3e+05,3e+05,3e+05
"activity","Esmée Fairbairn Foundation",2015,1,30000,30000,30000
"activity","Esmée Fairbairn Foundation",2016,3,157000,60000,52333.3333333333
"activity","Esmée Fairbairn Foundation",2017,2,3e+05,150000,150000
"activity","Northern Rock Foundation",2004,4,463848,250000,115962
"activity","Northern Rock Foundation",2005,3,225129,92880,75043
"activity","Northern Rock Foundation",2006,5,251849,112404,50369.8
"activity","Northern Rock Foundation",2007,5,189968,99000,37993.6
"activity","Northern Rock Foundation",2009,1,25395,25395,25395
"activity","Northern Rock Foundation",2011,1,15724,15724,15724
"activity","others",2004,1,2500,2500,2500
"activity","others",2005,4,6000,2500,1500
"activity","others",2007,1,500,500,500
"activity","others",2008,3,8160,4000,2720
"activity","others",2009,2,7500,5000,3750
"activity","others",2010,3,23200,19200,7733.33333333333
"activity","others",2011,3,3700,1500,1233.33333333333
"activity","others",2012,11,204300,85000,18572.7272727273
"activity","others",2013,46,1465602.74,98710,31860.9291304348
"activity","others",2014,70,2842070.4,121000,40601.0057142857
"activity","others",2015,118,3211396.5,367842,27215.2245762712
"activity","others",2016,155,2414403.62,305854,15576.7975483871
"activity","others",2017,345,1939320.66,150000,5621.21930434783
"activity","Paul Hamlyn Foundation",2007,2,64672,45000,32336
"activity","Paul Hamlyn Foundation",2008,2,14000,9000,7000
"activity","Paul Hamlyn Foundation",2009,1,128442,128442,128442
"activity","Paul Hamlyn Foundation",2010,3,94636,79838,31545.3333333333
"activity","Paul Hamlyn Foundation",2011,3,29000,10000,9666.66666666667
"activity","Paul Hamlyn Foundation",2013,2,438754,240000,219377
"activity","Paul Hamlyn Foundation",2014,1,10000,10000,10000
"activity","Paul Hamlyn Foundation",2015,1,120000,120000,120000
"activity","Sport England",2004,10,4041107,821877,404110.7
"activity","Sport England",2005,43,45739271.32,13973434,1063703.98418605
"activity","Sport England",2006,25,5203832,683616,208153.28
"activity","Sport England",2007,13,6601998,4919843,507846
"activity","Sport England",2008,124,40845765,2640000,329401.330645161
"activity","Sport England",2009,1280,600973938,8.7e+07,469510.8890625
"activity","Sport England",2010,1316,66847916,3e+06,50796.2887537994
"activity","Sport England",2011,1407,273352805,64214567,194280.600568586
"activity","Sport England",2012,2305,130228944,2e+07,56498.4572668113
"activity","Sport England",2013,2365,534761023,25905915,226114.597463002
"activity","Sport England",2014,2951,319633682,16778927,108313.684174856
"activity","Sport England",2015,1424,118248488,6e+06,83039.6685393258
"activity","Sport England",2016,1231,76073053,8e+06,61797.7684809098
"activity","Sport England",2017,1407,244146305,12018000,173522.604832978
"activity","The Big Lottery Fund",2004,1550,287857591,4638975,185714.57483871
"activity","The Big Lottery Fund",2005,1291,77162417,2500000,59769.49419055
"activity","The Big Lottery Fund",2006,1696,46298590,7997162,27298.6969339623
"activity","The Big Lottery Fund",2007,1000,62882289,28850000,62882.289
"activity","The Big Lottery Fund",2008,1115,26403544.25,973160,23680.3087443946
"activity","The Big Lottery Fund",2009,912,25532087,1130447,27995.7094298246
"activity","The Big Lottery Fund",2010,773,15668762,557448,20270.0672703752
"activity","The Big Lottery Fund",2011,804,19213003.34,931495,23896.7703233831
"activity","The Big Lottery Fund",2012,837,27654560.68,7e+06,33040.0963918757
"activity","The Big Lottery Fund",2013,709,26281723.41,9994537,37068.7213117066
"activity","The Big Lottery Fund",2014,266,4952988.26,483753,18620.2566165414
"activity","The Big Lottery Fund",2015,490,16514947,793362,33703.9734693878
"activity","The Big Lottery Fund",2016,675,22611107,778100,33497.9362962963
"activity","The Big Lottery Fund",2017,525,20801668,1500000,39622.2247619048
"activity","The Wellcome Trust",2005,4,1357591,1e+06,339397.75
"activity","The Wellcome Trust",2006,7,610221,282788,87174.4285714286
"activity","The Wellcome Trust",2007,10,3930435,1856531,393043.5
"activity","The Wellcome Trust",2008,5,229051,139636,45810.2
"activity","The Wellcome Trust",2009,5,464249,209910,92849.8
"activity","The Wellcome Trust",2010,20,2042742,687783,102137.1
"activity","The Wellcome Trust",2011,18,1295395,5e+05,71966.3888888889
"activity","The Wellcome Trust",2012,5,262336,150902,52467.2
"activity","The Wellcome Trust",2013,6,468398,250000,78066.3333333333
"activity","The Wellcome Trust",2014,20,4281561,1903293,214078.05
"activity","The Wellcome Trust",2015,9,4755382,4366023,528375.777777778
"activity","The Wellcome Trust",2016,20,1630435,905754,81521.75
"activity","The Wellcome Trust",2017,10,123859,75271,12385.9
