"theme","fundersTop10","country","year","recipients","totalAwarded","maxAwarded","avgAwarded"
"activity","Comic Relief",NA,2015,10,1322853,248000,132285.3
"activity","Comic Relief",NA,2016,6,12552555,8e+06,2092092.5
"activity","Comic Relief",NA,2017,5,494894,165000,98978.8
"activity","Esmée Fairbairn Foundation",NA,2008,2,169404,98656,84702
"activity","Esmée Fairbairn Foundation",NA,2011,1,103022,103022,103022
"activity","Esmée Fairbairn Foundation",NA,2014,1,3e+05,3e+05,3e+05
"activity","Esmée Fairbairn Foundation",NA,2015,1,30000,30000,30000
"activity","Esmée Fairbairn Foundation",NA,2016,3,157000,60000,52333.3333333333
"activity","Esmée Fairbairn Foundation",NA,2017,2,3e+05,150000,150000
"activity","Northern Rock Foundation",NA,2004,4,463848,250000,115962
"activity","Northern Rock Foundation",NA,2005,3,225129,92880,75043
"activity","Northern Rock Foundation",NA,2006,5,251849,112404,50369.8
"activity","Northern Rock Foundation",NA,2007,5,189968,99000,37993.6
"activity","Northern Rock Foundation",NA,2009,1,25395,25395,25395
"activity","Northern Rock Foundation",NA,2011,1,15724,15724,15724
"activity","others","Bangladesh",2015,1,7880,7880,7880
"activity","others","Nepal",2014,1,29950,29950,29950
"activity","others","Nigeria",2015,1,30000,30000,30000
"activity","others","South Africa",2016,1,1500,1500,1500
"activity","others","Sudan",2015,1,10000,10000,10000
"activity","others","Uganda",2016,1,2000,2000,2000
"activity","others",NA,2004,1,2500,2500,2500
"activity","others",NA,2005,4,6000,2500,1500
"activity","others",NA,2007,1,500,500,500
"activity","others",NA,2008,3,8160,4000,2720
"activity","others",NA,2009,2,7500,5000,3750
"activity","others",NA,2010,3,23200,19200,7733.33333333333
"activity","others",NA,2011,3,3700,1500,1233.33333333333
"activity","others",NA,2012,11,204300,85000,18572.7272727273
"activity","others",NA,2013,46,1465602.74,98710,31860.9291304348
"activity","others",NA,2014,69,2812120.4,121000,40755.368115942
"activity","others",NA,2015,115,3163516.5,367842,27508.8391304348
"activity","others",NA,2016,153,2410903.62,305854,15757.54
"activity","others",NA,2017,345,1939320.66,150000,5621.21930434783
"activity","Paul Hamlyn Foundation",NA,2007,2,64672,45000,32336
"activity","Paul Hamlyn Foundation",NA,2008,2,14000,9000,7000
"activity","Paul Hamlyn Foundation",NA,2009,1,128442,128442,128442
"activity","Paul Hamlyn Foundation",NA,2010,3,94636,79838,31545.3333333333
"activity","Paul Hamlyn Foundation",NA,2011,3,29000,10000,9666.66666666667
"activity","Paul Hamlyn Foundation",NA,2013,2,438754,240000,219377
"activity","Paul Hamlyn Foundation",NA,2014,1,10000,10000,10000
"activity","Paul Hamlyn Foundation",NA,2015,1,120000,120000,120000
"activity","Sport England","Australia",2009,1,3650,3650,3650
"activity","Sport England","Australia",2012,1,2600,2600,2600
"activity","Sport England","Bangladesh",2010,1,5010,5010,5010
"activity","Sport England","Bangladesh",2012,1,8650,8650,8650
"activity","Sport England","Bangladesh",2013,1,9970,9970,9970
"activity","Sport England","Bangladesh",2014,1,9684,9684,9684
"activity","Sport England","Chad",2013,1,48954,48954,48954
"activity","Sport England","Chad",2014,1,6270,6270,6270
"activity","Sport England","Chad",2015,1,340000,340000,340000
"activity","Sport England","Chad",2017,1,2383,2383,2383
"activity","Sport England","Ghana",2016,1,10000,10000,10000
"activity","Sport England","India",2013,1,5360,5360,5360
"activity","Sport England","India",2014,1,90323,90323,90323
"activity","Sport England","Iran",2016,1,9976,9976,9976
"activity","Sport England","Mali",2014,1,245170,245170,245170
"activity","Sport England","Sudan",2012,1,4987,4987,4987
"activity","Sport England","United Kingdom",2009,1,601,601,601
"activity","Sport England",NA,2004,10,4041107,821877,404110.7
"activity","Sport England",NA,2005,43,45739271.32,13973434,1063703.98418605
"activity","Sport England",NA,2006,25,5203832,683616,208153.28
"activity","Sport England",NA,2007,13,6601998,4919843,507846
"activity","Sport England",NA,2008,124,40845765,2640000,329401.330645161
"activity","Sport England",NA,2009,1278,600969687,8.7e+07,470242.321596244
"activity","Sport England",NA,2010,1315,66842906,3e+06,50831.1072243346
"activity","Sport England",NA,2011,1407,273352805,64214567,194280.600568586
"activity","Sport England",NA,2012,2302,130212707,2e+07,56565.0334491746
"activity","Sport England",NA,2013,2362,534696739,25905915,226374.571972904
"activity","Sport England",NA,2014,2947,319282235,16778927,108341.443841194
"activity","Sport England",NA,2015,1423,117908488,6e+06,82859.0920590302
"activity","Sport England",NA,2016,1229,76053077,8e+06,61882.0805532954
"activity","Sport England",NA,2017,1406,244143922,12018000,173644.325746799
"activity","The Big Lottery Fund","Afghanistan",2005,1,4830,4830,4830
"activity","The Big Lottery Fund","Albania",2009,1,10000,10000,10000
"activity","The Big Lottery Fund","Albania",2017,1,10000,10000,10000
"activity","The Big Lottery Fund","Angola",2004,2,10000,5000,5000
"activity","The Big Lottery Fund","Angola",2006,1,4900,4900,4900
"activity","The Big Lottery Fund","Australia",2014,1,4080,4080,4080
"activity","The Big Lottery Fund","Bangladesh",2004,1,4230,4230,4230
"activity","The Big Lottery Fund","Bangladesh",2005,2,95606,90606,47803
"activity","The Big Lottery Fund","Bangladesh",2006,3,14370,5000,4790
"activity","The Big Lottery Fund","Bangladesh",2007,2,304585,294595,152292.5
"activity","The Big Lottery Fund","Bangladesh",2009,2,169533,159583,84766.5
"activity","The Big Lottery Fund","Bangladesh",2010,1,10000,10000,10000
"activity","The Big Lottery Fund","Bangladesh",2011,2,18600,10000,9300
"activity","The Big Lottery Fund","Bangladesh",2012,1,9925,9925,9925
"activity","The Big Lottery Fund","Bangladesh",2014,1,9300,9300,9300
