theme,funder,country,year,recipients,totalAwarded,maxAwarded,avgAwarded,id
activity,BBC Children in Need,Bangladesh,2015,1,"£7,880","£7,880","£7,880",BBC Children in Need-Bangladesh
activity,BBC Children in Need,Sudan,2015,1,"£10,000","£10,000","£10,000",BBC Children in Need-Sudan
activity,Community Foundation serving Tyne & Wear and Northumberland,South Africa,2016,1,"£1,500","£1,500","£1,500",Community Foundation serving Tyne & Wear and Northumberland-South Africa
activity,Indigo Trust,Nigeria,2015,1,"£30,000","£30,000","£30,000",Indigo Trust-Nigeria
activity,Lloyds Bank Foundation for England and Wales,Nepal,2014,1,"£29,950","£29,950","£29,950",Lloyds Bank Foundation for England and Wales-Nepal
activity,Woodward Charitable Trust,Uganda,2016,1,"£2,000","£2,000","£2,000",Woodward Charitable Trust-Uganda
child,BBC Children in Need,Bangladesh,2015,2,"£20,000","£10,000","£10,000",BBC Children in Need-Bangladesh
child,BBC Children in Need,Iran,2015,1,"£10,000","£10,000","£10,000",BBC Children in Need-Iran
child,BBC Children in Need,Pakistan,2015,1,"£77,397","£77,397","£77,397",BBC Children in Need-Pakistan
child,Co-operative Group,Belarus,2017,1,£889,£889,£889,Co-operative Group-Belarus
child,Co-operative Group,Nepal,2017,1,"£2,235","£2,235","£2,235",Co-operative Group-Nepal
child,Corra Foundation,Syria,2016,1,"£4,096","£4,096","£4,096",Corra Foundation-Syria
child,Corra Foundation,Syria,2017,1,"£5,000","£5,000","£5,000",Corra Foundation-Syria
child,Indigo Trust,Kenya,2015,1,"£11,872","£11,872","£11,872",Indigo Trust-Kenya
child,Lloyds Bank Foundation for England and Wales,Congo,2014,1,"£10,000","£10,000","£10,000",Lloyds Bank Foundation for England and Wales-Congo
child,London Councils,Iran,2017,1,"£3,360,000","£3,360,000","£3,360,000",London Councils-Iran
child,Oxfordshire Community Foundation,Australia,2017,1,£785,£785,£785,Oxfordshire Community Foundation-Australia
child,Oxfordshire Community Foundation,India,2017,1,"£4,700","£4,700","£4,700",Oxfordshire Community Foundation-India
child,Oxfordshire Community Foundation,Sudan,2016,1,"£5,000","£5,000","£5,000",Oxfordshire Community Foundation-Sudan
child,Quartet Community Foundation,France,2017,1,"£3,600","£3,600","£3,600",Quartet Community Foundation-France
child,Quartet Community Foundation,Jamaica,2016,1,"£1,320","£1,320","£1,320",Quartet Community Foundation-Jamaica
child,Quartet Community Foundation,Nepal,2017,1,£100,£100,£100,Quartet Community Foundation-Nepal
child,Staples Trust,Syria,2015,1,"£10,000","£10,000","£10,000",Staples Trust-Syria
child,The Henry Smith Charity,Congo,2012,1,"£2,000","£2,000","£2,000",The Henry Smith Charity-Congo
child,The Henry Smith Charity,Ireland,2012,1,£700,£700,£700,The Henry Smith Charity-Ireland
child,The Henry Smith Charity,Ireland,2014,1,"£98,500","£98,500","£98,500",The Henry Smith Charity-Ireland
child,The Tudor Trust,Ireland,2017,1,"£2,000","£2,000","£2,000",The Tudor Trust-Ireland
child,True Colours Trust,Malawi,2017,1,"£20,414","£20,414","£20,414",True Colours Trust-Malawi
child,Wolfson Foundation,Georgia,2014,1,"£50,000","£50,000","£50,000",Wolfson Foundation-Georgia
child,Woodward Charitable Trust,Bangladesh,2004,1,"£1,050","£1,050","£1,050",Woodward Charitable Trust-Bangladesh
child,Woodward Charitable Trust,Bangladesh,2007,1,"£1,000","£1,000","£1,000",Woodward Charitable Trust-Bangladesh
child,Woodward Charitable Trust,Brazil,2011,1,"£1,000","£1,000","£1,000",Woodward Charitable Trust-Brazil
child,Woodward Charitable Trust,Congo,2005,1,"£1,000","£1,000","£1,000",Woodward Charitable Trust-Congo
child,Woodward Charitable Trust,Ethiopia,2014,1,£500,£500,£500,Woodward Charitable Trust-Ethiopia
child,Woodward Charitable Trust,India,2008,1,"£30,000","£30,000","£30,000",Woodward Charitable Trust-India
child,Woodward Charitable Trust,India,2011,1,"£1,634","£1,634","£1,634",Woodward Charitable Trust-India
child,Woodward Charitable Trust,India,2013,2,"£4,000","£2,500","£2,000",Woodward Charitable Trust-India
child,Woodward Charitable Trust,India,2017,1,"£1,000","£1,000","£1,000",Woodward Charitable Trust-India
child,Woodward Charitable Trust,Ireland,2009,1,"£1,000","£1,000","£1,000",Woodward Charitable Trust-Ireland
child,Woodward Charitable Trust,Ireland,2012,1,"£1,500","£1,500","£1,500",Woodward Charitable Trust-Ireland
child,Woodward Charitable Trust,Kenya,2016,1,£500,£500,£500,Woodward Charitable Trust-Kenya
child,Woodward Charitable Trust,Nepal,2017,1,"£1,000","£1,000","£1,000",Woodward Charitable Trust-Nepal
child,Woodward Charitable Trust,South Africa,2004,1,"£6,226","£6,226","£6,226",Woodward Charitable Trust-South Africa
child,Woodward Charitable Trust,South Africa,2015,1,£500,£500,£500,Woodward Charitable Trust-South Africa
community,"Calouste Gulbenkian Foundation, UK Branch",Ireland,2016,1,"£13,500","£13,500","£13,500","Calouste Gulbenkian Foundation, UK Branch-Ireland"
community,Cheshire Community Foundation,Congo,2017,1,"£10,000","£10,000","£10,000",Cheshire Community Foundation-Congo
community,Cheshire Community Foundation,Syria,2017,1,"£9,858","£9,858","£9,858",Cheshire Community Foundation-Syria
community,City Bridge Trust,Vietnam,2017,1,"£3,000","£3,000","£3,000",City Bridge Trust-Vietnam
community,Heart Of England Community Foundation,Bangladesh,2016,1,"£1,000","£1,000","£1,000",Heart Of England Community Foundation-Bangladesh
community,Heart Of England Community Foundation,South Sudan,2017,1,£750,£750,£750,Heart Of England Community Foundation-South Sudan
community,Indigo Trust,Liberia,2017,1,"£18,000","£18,000","£18,000",Indigo Trust-Liberia
community,Indigo Trust,South Africa,2015,1,"£10,000","£10,000","£10,000",Indigo Trust-South Africa
community,Lloyds Bank Foundation for England and Wales,Bangladesh,2014,1,"£7,000","£7,000","£7,000",Lloyds Bank Foundation for England and Wales-Bangladesh
community,Lloyds Bank Foundation for England and Wales,Bangladesh,2015,1,"£9,717","£9,717","£9,717",Lloyds Bank Foundation for England and Wales-Bangladesh
community,Lloyds Bank Foundation for England and Wales,Bangladesh,2016,1,"£13,356","£13,356","£13,356",Lloyds Bank Foundation for England and Wales-Bangladesh
community,Lloyds Bank Foundation for England and Wales,Congo,2014,1,"£10,000","£10,000","£10,000",Lloyds Bank Foundation for England and Wales-Congo
community,Lloyds Bank Foundation for England and Wales,Eritrea,2015,1,"£12,902","£12,902","£12,902",Lloyds Bank Foundation for England and Wales-Eritrea
