theme,FundingName,year,recipients,totalAwarded,maxAwarded,avgAwarded,id
activity,Barrow Cadbury Trust,2015,1,"£29,000","£29,000","£29,000",activity-Barrow Cadbury Trust
activity,BBC Children in Need,2013,11,"£742,593","£98,710","£67,508",activity-BBC Children in Need
activity,BBC Children in Need,2014,24,"£1,726,111","£103,321","£71,921",activity-BBC Children in Need
activity,BBC Children in Need,2015,45,"£1,793,263","£119,282","£39,850",activity-BBC Children in Need
activity,Birmingham City Council,2014,4,"£2,000",£500,£500,activity-Birmingham City Council
activity,Birmingham City Council,2015,1,"£3,000","£3,000","£3,000",activity-Birmingham City Council
activity,Birmingham City Council,2016,1,"£6,500","£6,500","£6,500",activity-Birmingham City Council
activity,"Calouste Gulbenkian Foundation, UK Branch",2016,1,"£72,000","£72,000","£72,000","activity-Calouste Gulbenkian Foundation, UK Branch"
activity,Cheshire Community Foundation,2016,9,"£30,964","£14,894","£3,440",activity-Cheshire Community Foundation
activity,Cheshire Community Foundation,2017,11,"£47,934","£6,500","£4,358",activity-Cheshire Community Foundation
activity,City Bridge Trust,2014,1,"£121,000","£121,000","£121,000",activity-City Bridge Trust
activity,City Bridge Trust,2015,4,"£406,850","£143,600","£101,713",activity-City Bridge Trust
activity,City Bridge Trust,2016,1,"£123,170","£123,170","£123,170",activity-City Bridge Trust
activity,City Bridge Trust,2017,2,"£258,800","£139,800","£129,400",activity-City Bridge Trust
activity,Co-operative Group,2017,238,"£538,688","£10,443","£2,263",activity-Co-operative Group
activity,Community Foundation for Surrey,2016,3,"£23,245","£12,500","£7,748",activity-Community Foundation for Surrey
activity,Community Foundation for Surrey,2017,3,"£9,504","£4,624","£3,168",activity-Community Foundation for Surrey
activity,Community Foundation serving Tyne & Wear and Northumberland,2015,12,"£42,387","£9,950","£3,532",activity-Community Foundation serving Tyne & Wear and Northumberland
activity,Community Foundation serving Tyne & Wear and Northumberland,2016,23,"£61,754","£10,000","£2,685",activity-Community Foundation serving Tyne & Wear and Northumberland
activity,Community Foundation serving Tyne & Wear and Northumberland,2017,1,"£2,300","£2,300","£2,300",activity-Community Foundation serving Tyne & Wear and Northumberland
activity,Corra Foundation,2015,1,"£2,000","£2,000","£2,000",activity-Corra Foundation
activity,Corra Foundation,2016,3,"£10,189","£4,000","£3,396",activity-Corra Foundation
activity,Essex Community Foundation,2016,3,"£10,305","£4,305","£3,435",activity-Essex Community Foundation
activity,Essex Community Foundation,2017,1,"£2,000","£2,000","£2,000",activity-Essex Community Foundation
activity,Greenham Common Trust,2016,1,"£1,400","£1,400","£1,400",activity-Greenham Common Trust
activity,Heart Of England Community Foundation,2016,6,"£15,520","£5,000","£2,587",activity-Heart Of England Community Foundation
activity,Heart Of England Community Foundation,2017,12,"£44,052","£20,480","£3,671",activity-Heart Of England Community Foundation
activity,Indigo Trust,2014,1,"£3,000","£3,000","£3,000",activity-Indigo Trust
activity,Indigo Trust,2015,1,"£30,000","£30,000","£30,000",activity-Indigo Trust
activity,LandAid Charitable Trust,2013,2,"£105,000","£85,000","£52,500",activity-LandAid Charitable Trust
activity,LandAid Charitable Trust,2014,1,"£100,000","£100,000","£100,000",activity-LandAid Charitable Trust
activity,Lloyd's Register Foundation,2016,1,"£30,000","£30,000","£30,000",activity-Lloyd's Register Foundation
activity,Lloyds Bank Foundation for England and Wales,2010,1,"£19,200","£19,200","£19,200",activity-Lloyds Bank Foundation for England and Wales
activity,Lloyds Bank Foundation for England and Wales,2012,2,"£48,800","£28,800","£24,400",activity-Lloyds Bank Foundation for England and Wales
activity,Lloyds Bank Foundation for England and Wales,2013,15,"£335,500","£36,000","£22,367",activity-Lloyds Bank Foundation for England and Wales
activity,Lloyds Bank Foundation for England and Wales,2014,14,"£372,950","£36,500","£26,639",activity-Lloyds Bank Foundation for England and Wales
activity,Lloyds Bank Foundation for England and Wales,2015,2,"£27,675","£15,000","£13,838",activity-Lloyds Bank Foundation for England and Wales
activity,Lloyds Bank Foundation for England and Wales,2016,6,"£138,421","£72,706","£23,070",activity-Lloyds Bank Foundation for England and Wales
activity,Lloyds Bank Foundation for England and Wales,2017,2,"£29,925","£15,000","£14,963",activity-Lloyds Bank Foundation for England and Wales
activity,London Borough of Barnet,2017,1,"£4,775","£4,775","£4,775",activity-London Borough of Barnet
activity,London Catalyst,2014,1,"£2,000","£2,000","£2,000",activity-London Catalyst
activity,London Catalyst,2015,1,"£5,000","£5,000","£5,000",activity-London Catalyst
activity,London Catalyst,2017,1,"£1,500","£1,500","£1,500",activity-London Catalyst
activity,Macc,2016,2,"£19,900","£10,000","£9,950",activity-Macc
activity,Masonic Charitable Foundation,2016,4,"£148,000","£60,000","£37,000",activity-Masonic Charitable Foundation
activity,Nationwide Foundation,2009,1,"£5,000","£5,000","£5,000",activity-Nationwide Foundation
activity,One Manchester,2015,4,"£7,666","£5,000","£1,917",activity-One Manchester
activity,One Manchester,2016,1,"£2,000","£2,000","£2,000",activity-One Manchester
activity,Oxford City Council,2014,1,"£1,740","£1,740","£1,740",activity-Oxford City Council
activity,Oxfordshire Community Foundation,2013,3,"£6,950","£5,000","£2,317",activity-Oxfordshire Community Foundation
activity,Oxfordshire Community Foundation,2015,2,"£3,000","£2,000","£1,500",activity-Oxfordshire Community Foundation
activity,Oxfordshire Community Foundation,2016,11,"£16,339","£5,000","£1,485",activity-Oxfordshire Community Foundation
activity,Oxfordshire Community Foundation,2017,9,"£18,601","£5,000","£2,067",activity-Oxfordshire Community Foundation
activity,Power to Change,2015,1,"£367,842","£367,842","£367,842",activity-Power to Change
activity,Power to Change,2016,4,"£1,052,394","£305,854","£263,099",activity-Power to Change
activity,Quartet Community Foundation,2016,28,"£76,847","£20,000","£2,745",activity-Quartet Community Foundation
activity,Quartet Community Foundation,2017,27,"£114,046","£20,000","£4,224",activity-Quartet Community Foundation
activity,R S Macdonald Charitable Trust,2015,2,"£10,000","£5,000","£5,000",activity-R S Macdonald Charitable Trust
activity,R S Macdonald Charitable Trust,2016,2,"£22,926","£12,205","£11,463",activity-R S Macdonald Charitable Trust
activity,R S Macdonald Charitable Trust,2017,1,"£1,000","£1,000","£1,000",activity-R S Macdonald Charitable Trust
activity,Scottish Council For Voluntary Organisations,2015,3,"£31,550","£12,600","£10,517",activity-Scottish Council For Voluntary Organisations
activity,Scottish Council For Voluntary Organisations,2016,3,"£13,550","£6,000","£4,517",activity-Scottish Council For Voluntary Organisations
activity,Scottish Council For Voluntary Organisations,2017,1,"£10,000","£10,000","£10,000",activity-Scottish Council For Voluntary Organisations
activity,Seafarers UK,2017,1,"£5,000","£5,000","£5,000",activity-Seafarers UK
activity,Somerset Community Foundation,2016,1,£500,£500,£500,activity-Somerset Community Foundation
activity,The Clothworkers Foundation,2016,4,"£49,800","£25,000","£12,450",activity-The Clothworkers Foundation
activity,The Clothworkers Foundation,2017,1,"£40,000","£40,000","£40,000",activity-The Clothworkers Foundation
activity,The David & Elaine Potter Foundation,2014,1,"£56,055","£56,055","£56,055",activity-The David & Elaine Potter Foundation
activity,The Dulverton Trust,2005,2,"£4,500","£2,500","£2,250",activity-The Dulverton Trust
activity,The Dulverton Trust,2008,1,"£2,000","£2,000","£2,000",activity-The Dulverton Trust
activity,The Dulverton Trust,2009,1,"£2,500","£2,500","£2,500",activity-The Dulverton Trust
activity,The Dulverton Trust,2010,1,"£2,000","£2,000","£2,000",activity-The Dulverton Trust
activity,The Dulverton Trust,2012,2,"£55,000","£50,000","£27,500",activity-The Dulverton Trust
activity,The Dunhill Medical Trust,2016,1,"£6,720","£6,720","£6,720",activity-The Dunhill Medical Trust
activity,The Fore,2014,1,"£26,000","£26,000","£26,000",activity-The Fore
activity,The Henry Smith Charity,2012,3,"£91,500","£85,000","£30,500",activity-The Henry Smith Charity
activity,The Henry Smith Charity,2013,7,"£162,500","£46,200","£23,214",activity-The Henry Smith Charity
activity,The Henry Smith Charity,2014,4,"£172,430","£88,800","£43,108",activity-The Henry Smith Charity
activity,The Henry Smith Charity,2015,3,"£175,000","£110,000","£58,333",activity-The Henry Smith Charity
activity,The Henry Smith Charity,2016,4,"£160,500","£88,500","£40,125",activity-The Henry Smith Charity
activity,The Joseph Rank Trust,2017,2,"£54,000","£30,000","£27,000",activity-The Joseph Rank Trust
activity,The Robertson Trust,2015,9,"£192,400","£50,000","£21,378",activity-The Robertson Trust
activity,The Robertson Trust,2016,8,"£173,500","£45,000","£21,688",activity-The Robertson Trust
activity,The Robertson Trust,2017,6,"£287,500","£111,000","£47,917",activity-The Robertson Trust
activity,The Tudor Trust,2013,2,"£96,000","£90,000","£48,000",activity-The Tudor Trust
